Model,Accuracy,Recall,F1 Score,ROC AUC
Random Forest,0.6801909307875895,0.6774193548387096,0.6869158878504673,0.6802938358351963
AdaBoost,0.6897374701670644,0.6728110599078341,0.6919431279620853,0.6903659259935209
SVM,0.6610978520286396,0.6221198156682027,0.6553398058252428,0.6625450563489529
XGBoost,0.6778042959427207,0.6451612903225806,0.6746987951807228,0.6790162887256467
MLP,0.630071599045346,0.6359447004608295,0.6403712296983759,0.6298535383492266
