Model,Accuracy,Recall,F1 Score,ROC AUC
Random Forest,0.7893258426966292,0.807909604519774,0.7922437673130194,0.7894296625950825
AdaBoost,0.797752808988764,0.8135593220338984,0.8,0.7978411135309157
SVM,0.7963483146067416,0.8107344632768362,0.7983310152990264,0.7964286841523845
XGBoost,0.8019662921348315,0.7994350282485876,0.8005657708628006,0.8019521509958023
MLP,0.7682584269662921,0.768361581920904,0.767277856135402,0.7682590032509546
