Win,Month,Day,Year,Weekday,Time,RoadTeam,Locale,HomeTeam,Conference,RoadTeamPoints,OT
0,Mar,4,2017,Sat,4:00 pm/est,Georgia Tech,@,Syracuse,ACC,61,
0,Jan,5,2016,Tue,9:00 pm/est,Kentucky,@,Louisiana State,SEC,67,
0,Feb,19,2018,Mon,9:00 pm/est,Minnesota,@,Wisconsin,Big Ten,63,OT
1,Jan,2,2018,Tue,9:00 pm/est,Florida,@,Texas A&M (11),SEC,83,
1,Feb,11,2015,Wed,9:00 pm/est,Oregon,@,Southern California,Pac-12,80,
0,Feb,7,2015,Sat,2:00 pm/est,Kansas,@,Oklahoma State,Big 12,62,
0,Jan,17,2018,Wed,11:00 pm/est,Arizona State,@,Stanford,Pac-12,77,
0,Feb,13,2016,Sat,4:30 pm/est,Virginia,@,Duke,ACC,62,
0,Feb,3,2018,Sat,6:00 pm/est,Georgetown,@,Xavier (6),Big East,91,OT
0,Jan,2,2016,Sat,11:00 am/est,DePaul,@,Seton Hall,Big East,74,
0,Jan,27,2018,Sat,8:00 pm/est,Iowa,@,Nebraska,Big Ten,84,
0,Jan,8,2017,Sun,1:00 pm/est,NC State,@,North Carolina (14),ACC,56,
0,Feb,8,2015,Sun,3:15 pm/est,Maryland,@,Iowa,Big Ten,55,
1,Jan,21,2015,Wed,7:00 pm/est,North Carolina,@,Wake Forest,ACC,87,
0,Mar,1,2016,Tue,7:00 pm/est,DePaul,@,Villanova (3),Big East,62,
0,Feb,8,2015,Sun,7:00 pm/est,Washington State,@,Oregon,Pac-12,72,
1,Feb,21,2017,Tue,9:00 pm/est,Mississippi,@,Mississippi State,SEC,87,OT
0,Feb,23,2015,Mon,9:00 pm/est,Kansas,@,Kansas State,Big 12,63,
1,Dec,1,2017,Fri,7:00 pm/est,Purdue,@,Maryland,Big Ten,80,
1,Feb,27,2016,Sat,4:00 pm/est,Texas A&M,@,Missouri,SEC,84,
1,Jan,1,2016,Fri,9:00 pm/est,USC,@,Washington State,Pac-12,90,
0,Jan,8,2015,Thu,9:00 pm/est,Stanford,@,UCLA,Pac-12,81,2OT
1,Feb,18,2015,Wed,9:00 pm/est,Providence,@,DePaul,Big East,84,
0,Feb,15,2015,Sun,4:00 pm/est,Stanford,@,Colorado,Pac-12,58,
0,Jan,24,2017,Tue,9:00 pm/est,Penn State,@,Wisconsin (15),Big Ten,55,
1,Jan,11,2015,Sun,10:00 pm/est,Stanford,@,Southern California,Pac-12,78,
1,Jan,1,2017,Sun,12:00 pm/est,Nebraska,@,Maryland,Big Ten,67,
0,Feb,2,2016,Tue,9:00 pm/est,Providence,@,DePaul,Big East,70,
1,Feb,18,2017,Sat,2:00 pm/est,Kansas State,@,Texas,Big 12,64,
0,Feb,6,2016,Sat,2:00 pm/est,Texas Tech,@,Texas,Big 12,59,
1,Feb,17,2015,Tue,7:00 pm/est,Kentucky,@,Tennessee,SEC,66,
0,Feb,21,2018,Wed,9:00 pm/est,Florida,@,Tennessee (19),SEC,57,
1,Jan,21,2015,Wed,9:00 pm/est,Mississippi State,@,Auburn,SEC,78,
1,Jan,16,2016,Sat,2:00 pm/est,Notre Dame,@,Duke (9),ACC,95,
1,Feb,13,2016,Sat,4:00 pm/est,Ohio State,@,Rutgers,Big Ten,79,
0,Jan,19,2017,Thu,9:00 pm/est,Clemson,@,Louisville (12),ACC,60,
0,Feb,22,2018,Thu,9:00 pm/est,Washington,@,Stanford,Pac-12,78,
0,Feb,4,2015,Wed,9:00 pm/est,Missouri,@,Alabama,SEC,49,
0,Mar,4,2017,Sat,10:15 pm/est,Washington State,@,UCLA (3),Pac-12,68,
0,Feb,5,2017,Sun,1:00 pm/est,Indiana,@,Wisconsin (10),Big Ten,60,
0,Jan,25,2018,Thu,7:00 pm/est,Michigan,@,Purdue (3),Big Ten,88,
1,Jan,23,2016,Sat,12:00 pm/est,Oklahoma,@,Baylor (14),Big 12,82,
1,Jan,12,2017,Thu,7:00 pm/est,Notre Dame,@,Miami (FL),ACC,67,
0,Feb,4,2016,Thu,11:00 pm/est,Utah,@,Oregon State,Pac-12,69,
1,Jan,23,2016,Sat,9:00 pm/est,Colorado,@,Washington State,Pac-12,75,
0,Jan,3,2015,Sat,2:15 pm/est,Michigan,@,Purdue,Big Ten,51,
1,Jan,2,2016,Sat,4:30 pm/est,Duke,@,Boston College,ACC,81,
0,Jan,17,2015,Sat,8:15 pm/est,Northwestern,@,Michigan,Big Ten,54,
0,Jan,7,2017,Sat,3:00 pm/est,Oregon State,@,Washington,Pac-12,61,
0,Feb,1,2018,Thu,11:00 pm/est,Arizona State,@,Washington,Pac-12,64,
1,Jan,24,2017,Tue,8:30 pm/est,Arkansas,@,Vanderbilt,SEC,71,
1,Jan,28,2016,Thu,9:00 pm/est,Oregon,@,Arizona (18),Pac-12,83,
1,Jan,20,2016,Wed,7:00 pm/est,Georgia,@,Missouri,SEC,60,
0,Jan,2,2016,Sat,2:30 pm/est,Syracuse,@,Miami (FL) (13),ACC,51,
1,Feb,10,2018,Sat,2:30 pm/est,Xavier,@,Creighton,Big East,72,
0,Jan,19,2015,Mon,7:00 pm/est,Pittsburgh,@,Duke (5),ACC,65,
1,Dec,30,2014,Tue,5:00 pm/est,Maryland,@,Michigan State,Big Ten,68,2OT
0,Feb,10,2016,Wed,9:00 pm/est,Iowa State,@,Texas Tech,Big 12,82,OT
0,Jan,21,2015,Wed,7:00 pm/est,Penn State,@,Michigan State,Big Ten,60,
1,Jan,27,2018,Sat,8:00 pm/est,Virginia Tech,@,Notre Dame,ACC,80,
0,Jan,21,2017,Sat,8:30 pm/est,LSU,@,Arkansas,SEC,86,
0,Mar,1,2017,Wed,9:00 pm/est,Michigan State,@,Illinois,Big Ten,70,
