Model,Accuracy,Recall,F1 Score,ROC AUC
Best Random Forest,0.6921241050119332,0.6728110599078341,0.6935866983372921,0.6928411735182735
Best AdaBoost,0.6706443914081146,0.6589861751152074,0.6745283018867925,0.6710772459734452
Best XGBoost,0.6945107398568019,0.6543778801843319,0.6893203883495146,0.6960008212802847
Best SVM,0.6610978520286396,0.6221198156682027,0.6553398058252428,0.6625450563489529
Best MLP,0.6348448687350835,0.5852534562211982,0.6240786240786241,0.6366861340511931
