Model,Accuracy,Recall,F1 Score,ROC AUC
Best Random Forest,0.7879213483146067,0.8192090395480226,0.7934336525307798,0.7880961398857431
Best AdaBoost,0.7963483146067416,0.8361581920903954,0.8032564450474898,0.7965707161569295
Best XGBoost,0.7837078651685393,0.7966101694915254,0.7855153203342619,0.7837799450809583
Best SVM,0.8103932584269663,0.8135593220338984,0.810126582278481,0.8104109459331503
Best MLP,0.7851123595505618,0.7796610169491526,0.7829787234042553,0.7850819051226211
