Model,Accuracy,Recall,F1 Score,ROC AUC
Random Forest,0.7433628318584071,0.6038647342995169,0.6329113924050633,0.713943540334116
AdaBoost,0.7451327433628319,0.6231884057971014,0.6417910447761194,0.7194154319488301
SVM,0.7256637168141593,0.5700483091787439,0.6035805626598465,0.6928453836396512
XGBoost,0.736283185840708,0.5990338164251208,0.6246851385390428,0.7073381372628397
MLP,0.6884955752212389,0.5507246376811594,0.5643564356435643,0.6594405311310825
