Model,Accuracy,Recall,F1 Score,ROC AUC
Random Forest,0.7879213483146067,0.8192090395480226,0.7934336525307798,0.7880961398857431
AdaBoost,0.800561797752809,0.8135593220338984,0.8022284122562674,0.8006344096203012
SVM,0.7963483146067416,0.7966101694915254,0.7954866008462623,0.7963497774831929
XGBoost,0.776685393258427,0.7824858757062146,0.7769985974754559,0.7767177981883028
MLP,0.7808988764044944,0.7768361581920904,0.7790368271954674,0.7808761796547045
