Model,Accuracy,Recall,F1 Score,ROC AUC
Best Random Forest,0.7486725663716814,0.5942028985507246,0.634020618556701,0.7160958626831835
Best AdaBoost,0.7539823008849558,0.5845410628019324,0.6351706036745407,0.7182481850322511
Best XGBoost,0.7592920353982301,0.5845410628019324,0.6402116402116402,0.7224381291663293
Best SVM,0.7539823008849558,0.5893719806763285,0.6370757180156658,0.7192669959247564
Best MLP,0.6867256637168142,0.5458937198067633,0.5607940446650124,0.6570250721938844
