Model,Accuracy,Recall,F1 Score,ROC AUC
Best Random Forest,0.7963483146067416,0.8135593220338984,0.7988904299583911,0.7964444654862229
Best AdaBoost,0.7823033707865169,0.7937853107344632,0.7838214783821479,0.782367515702427
Best XGBoost,0.800561797752809,0.8050847457627118,0.800561797752809,0.8005870656187861
Best SVM,0.8103932584269663,0.8135593220338984,0.810126582278481,0.8104109459331503
Best MLP,0.800561797752809,0.807909604519774,0.8011204481792717,0.8006028469526244
